ID,COLOR,RARITY,CATEGORY,FILENAME
1,Blue,Bronze,Divine,AirMonk.jpg
2,Blue,Golden,Necromancy,AncientWarlord.jpg
3,Yellow,Bronze,Alchemy,BloodmoonMountain.jpg
4,Blue,Stone,Necromancy,BloodmoonShores.jpg
5,Blue,Bronze,Alchemy,BloodmoonStaff.jpg
6,Green,Golden,Necromancy,BorTheJailor.jpg
7,Yellow,Stone,Divine,CautiousBodyguard.jpg
8,Blue,Stone,Alchemy,CloudStudy.jpg
9,Blue,Stone,Divine,CloudTree.jpg
10,Blue,Golden,Alchemy,CometOfHope.jpg
11,Grey,Stone,Necromancy,CryingUndead.jpg
12,Grey,Golden,Necromancy,CrypticVision.jpg
13,Green,Stone,Alchemy,CuriousDragon.jpg
14,Green,Stone,Alchemy,CyanWasp.jpg
15,Green,Stone,Necromancy,DeathBringer.jpg
16,Red,Bronze,Necromancy,DemonWoods.jpg
17,Blue,Bronze,Necromancy,EldritchPotion.jpg
18,Blue,Stone,Necromancy,EldritchWarlock.jpg
19,Green,Stone,Divine,ElvenArchery.jpg
20,Green,Stone,Divine,Firesage.jpg
21,Green,Bronze,Divine,FiresageCeremony.jpg
22,Green,Bronze,Alchemy,GalaxydustBomb.jpg
23,Grey,Golden,Divine,GatesOfOblivion.jpg
24,Yellow,Stone,Divine,Glowflower.jpg
25,Red,Stone,Necromancy,HalfEyedRogue.jpg
26,Grey,Stone,Alchemy,HealingPotion.jpg
27,Yellow,Bronze,Necromancy,Hellshroom.jpg
28,Grey,Stone,Divine,HonoredContract.jpg
29,Yellow,Stone,Alchemy,Icebolt.jpg
30,Blue,Golden,Divine,JudgementDay.jpg
31,Grey,Stone,Divine,JustKnigth.jpg
32,Grey,Stone,Alchemy,LargehatWizard.jpg
33,Grey,Bronze,Divine,LightningsCall.jpg
34,Red,Bronze,Divine,LoneRanger.jpg
35,Red,Stone,Divine,LostTrident.jpg
36,Green,Golden,Divine,MeetingTheCreator.jpg
37,Yellow,Stone,Necromancy,MineguardSkeleton.jpg
38,Red,Stone,Divine,MonksTower.jpg
39,Grey,Bronze,Alchemy,MoonstoneMountain.jpg
40,Red,Bronze,Alchemy,MushroomForest.jpg
41,Red,Golden,Alchemy,MysteryTunnel.jpg
42,Green,Bronze,Necromancy,NightmareForest.jpg
43,Yellow,Bronze,Divine,NobleCourage.jpg
44,Red,Stone,Alchemy,PrettyPotion.jpg
45,Green,Stone,Necromancy,PurpleGoblin.jpg
46,Red,Stone,Alchemy,SandNinja.jpg
47,Red,Golden,Divine,SeagodsChampionTriburon.jpg
48,Yellow,Golden,Divine,SeagodsTrident.jpg
49,Yellow,Bronze,Necromancy,SeaOfSouls.jpg
50,Yellow,Stone,Necromancy,SkeletonMayor.jpg
51,Grey,Golden,Alchemy,Starfall.jpg
52,Blue,Stone,Divine,SwordOfTheBrave.jpg
53,Red,Golden,Necromancy,TheAlmightyEye.jpg
54,Yellow,Golden,Necromancy,TheEgoCollector.jpg
55,Grey,Bronze,Necromancy,TheSunScourge.jpg
56,Yellow,Golden,Alchemy,TimetravellersHourglass.jpg
57,Yellow,Stone,Alchemy,VenomBlade.jpg
58,Grey,Stone,Necromancy,VenommoonSummoning.jpg
59,Blue,Stone,Alchemy,WiseWizard.jpg
60,Green,Golden,Alchemy,Wormhole.jpg
61,Red,Stone,Necromancy,ZombieMaid.jpg
